,Text,Metaphor
0,She ate her feelings.,Y
1,"Broken in flight, the bird scythed down to the waiting moor.",Y
2,He cut his friend off mid sentence.,Y
3,I carried his name.,Y
4,Inflation ate all my savings,Y
5,He shot down all of my arguments.,Y
6,My heart fills with pleasure,Y
7,My heart dances with daffodils.,Y
8,The breaking news stirred my excitement,Y
9,She held views that were downright disgusting.,Y
10,His head was spinning with ideas,Y
11,It's raining cats and dogs,Y
12,She melted into his arms when he apologized.,Y
13,She watched in horror as the dead bird floated down from the sky.,Y
14,"He cut me off, yet still I carried his name.",Y
15,"For souls it is death to become water, and for water death to become earth.",Y
16,She fights with her heart's desire. ,Y
17,"Whatever it wishes to get, it purchases at the cost of soul.",Y
18,"Uplift yourself from your lower self, even as an elephant draws himself out of a muddy swamp.",Y
19,Did their brains melt into the back seat?,Y
20,My mind had no choice but to drift into an elaborate fantasy realm.,Y
21,You should follow your mind.,Y
22,"You can't take your eyes off his eyes--blue and unblinking, as he confronts the world like a camera.",Y
23,"Still, she locked them in her mind for an hour.",Y
24,I massaged my brain.,Y
25,They bleed from their sensitive souls.,Y
26,Your hands were making artifacts in the corner of my mind.,Y
27,One must explore their mind.,Y
28,"When you direct your mental spotlight to the basketball passes, it leaves the rest of the world in darkness.",Y
29,"If we do not kill these zombie ideas once and for all, they will do even more damage next time.",Y
30,"They killed that idea, as it wasn't working.",Y
31,"Like butterflies with frayed wings, thoughts fly at me in random and rapid succession.",Y
32,"tell me, Bird, how soul inhabits the place of fire.",Y
33,how soul dwells there in its trembling?,Y
34,A person is created by feelings.,Y
35,Her feelings were bruised by words.,Y
36,"Shine on me baby, because it's raining in my heart.",Y
37,Spiders swing through my heart.,Y
38,Goldsmith deliberately sipping at the honey-pot of his mind.,Y
39,"But if I can identify the lizard of envy crawling around in my psyche, I can usually tamp down the ire.",Y
40,"Ayahuasca takes you to the swampland of your soul,",Y
41,About once a month I run across a person who radiates an inner light.,Y
42,"He told me that, while many people find that walking or jogging shakes ideas loose from the subconscious, he needs to quell all physical activity.",Y
43,She was digging into her psyche.,Y
44,"In some ways, it's like peeking into the black box of our mind, seeing the puzzle pieces that put our regular perception together.",Y
45,A universe of information swirled around in his brain.,Y
46,How can I kill a process?,Y
47,"In his regime, there were turning wheels in motion.",Y
48,Diana and Charles were mending their marriage,Y
49,Sheila went to the house to grab a rake.,N
50,The boy played the piano in the foyer.,N
51,John visited the White House with his friends.,N
52,Jill and Tommy held hands at the movies.,N
53,Dan and Timmy loved their new toys.,N
54,Terry adores her best friend.,N
55,Connor broke the glass in his car and must replace the windshield.,N
56,She gained invaluable knowledge from books.,N
57,He is begging for her mother's life.,N
58,David is writing a novel about wildlife heritage.,N
59,You are coming right now at the seminar.,N
60,She is smiling in front of the audience.,N
61,They are selling their company's products to people.,N
62,He apologized to the teachers.,N
63,He left this bag here and went outside.,N
64,We are knowing each other.,N
65,Alcohol causes Cancer.,N
66,He is riding his new bike all-day.,N
67,We are participating in the cultural program.,N
68,That Aeroplane was flying above the clouds.,N
69,The police are asking about the incident that happened last night.,N
70,This museum will close after an hour.,N
71,Andrew is playing basketball at the college tournament.,N
72,She loves exploring the coves down by the ocean. ,N
73,We're building a new bookshelf. ,N
74,The cat chased the mouse around the yard.,N
75,My neighbor will check my mail when I go on vacation.,N
76,"In order to collaborate on this project, our team met twice a week.",N
77,"With family overseas, we're lucky that we can communicate through video chats.",N
78,"First, I wrote some sentences.",N
